id,ai_title,ai_turkish_title,ai_synopsis
11,Bir Litre Gözyaşı,Bir Litre Gözyaşı,"Cihan is preparing for university with great excitement. When she wins the university, as she imagines, she finds another tention: “Love”.

Cihan felt that she had just started to live, in fact, she had a disease without treatment and Figen(her mother) is the first who learns it. As long as Cihan lives, Figen started a big fight for her life so that Cihan could spend the rest of her life as unique and as she deserved."
12,Yasak Elma,Yasak Elma,"Yasak Elma started out being the story of Yıldız and Zeynep, two sisters, who are very close but have very different characters and life goals. Zeynep is a girl who strictly adheres to her ethical values, aims to have a successful career and strives for it; while Yıldız believes that she deserves more and considers happiness to be a marriage with a rich man, who would save her from her low-income life.

Now in season 4 the focus is on the female leads. Yıldız and Ender has gone from enemies, to best friends, to enemies, friends and now enemies again.

This is for a very large part the result of her mother Asuman who with her meddling and ambitions has ruined Yıldız life. Yıldız is now facing Ender who has now joined forces with her arch nemesis Sahika. This despite the fact that Sahika cost Ender the love of her life. But vengeance and ambitions are more important."
13,My Daughter,Kızım,"Eight-year-old Öykü is an exceptional little girl, who unlike her peers is very empathetic and perceptive of the world around her. When her aunt, who has been her caregiver since birth, abandons her, Öykü will have to find her father, Demir.

Unfortunately Demir, an irresponsible adult and a swindler who grew up in an orphanage, gets arrested the day Öykü comes to find him. Demir is released by the court on the condition that he takes care of his daughter, but Demir does not want to live with Öykü, whom he has just met - Demir and his partner-in-crime Ugur try to get rid of Öykü as they prepare for a big job.

Their target, Candan has a seemingly quiet life, which only conceals her painful past. Fate will bring these people together, but none know that Öykü has a secret she cannot tell anyone."
14,Foster Mother,Ağlama Anne,"Alev is an ambitious young woman who made a mistake at the university years. She had an affair with Adnan during this years and got pregnant to a baby girl. Unfortunately Alev lost contact with Adnan but when she found out about her pregnancy she tried to find Adnan back. However Adnan's family threatened her and she couldn't find him. Scared of her father, Alev tried to kill her baby but she couldn't succeed and sent to jail due to this event.

Also she was abandoned by her family. However, Alev's sister Damla stands out against her father and takes the baby to protect her. Even though Damla brings the baby to her mother, Alev doesn't want to take the responsibility due to the traumas she had. Alev gets out of the jail only when her daughter, Zeynep, becomes 18 years old. Zeynep is raised knowing her mother is Damla.

When Alev gets out the jail, she starts a new life and makes plans to get her daughter back. On the other hand, Adnan is unhappily married and tries to maintain this marriage just for the sake of his child. He finds about his daughter from Alev by chance and he holds responsible his father to hides this secret. Adnan will have to deal with the process of divorce and trying to find his lost daughter. In the mean time when he tries to find his daughter, he and Damla falls in love. In all of this complexity, Alev will do everything to get her daughter back and Damla will not give her 'daughter' that she looked after with many difficulties. The two sister will have to fight over their motherhood while Damla and Adnan will have to fight for their love."
15,For My Daughters,Kızlarım İçin,"Yaşar is a poor man with five daughters and he loves them very much. He works at two jobs to afford his family’s need but it is not enough for his wife.

His wife is having an affair with their neighbor Zübeyir and one day their middle daughter, Sumru, sees them together. Mother and daughter start to argue and Sumru accidentally kills her mom.

Yaşar takes the blame and goes to prison and they hid the truth from everybody else. Kumru, the older daughter who is a med student quits her internship and starts working to look after her sisters. Their eldest sister, Selva, is married with children but she has a very unhappy life. Suna is an A-level high school student and Huma is the youngest of them, goes to primary school."
16,Wildrose,Gülizar,"As an aspiring musician, twenty-five-year-old Gülizar (Farah Zeynep Abdullah) lives in a poor neighborhood with her mother’s friend. There is nothing in the whole world more important for her than making music. “I must sing to breathe!” she says.

Along with his best friend Fettah (Berkay Ateş), Gülizar has been trying to produce a hit song for some time. One day, she learns that her estranged father is on a deathbed and he wants to see her for one last time. As his days are numbered, her father’s will is to have Gülizar bring into his farmhouse.

When she arrives, Gülizar falls for the housekeeper’s son Murat (Berk Cankat). However, Murat is already engaged to Gülizar’s stepsister. While trying to pursue her passion, Gülizar struggles between her past, enemies at the house, and the love she has for Murat."
17,Our Story,Bizim Hikaye,"Bizim Hikaye starts with a family struggling to survive in one of the poorer districts of town. Filiz, the eldest sibling has become like a mother to her brothers and sisters. She has been looking after her five younger siblings ever since their mother abandoned them. She takes care of her family despite their alcoholic father Fikri and hangs on to life without complaining. Like Filiz, the siblings are strong-willed, eclectic, proud children who have learned to look after themselves without succumbing to despair.

Filiz is followed by Rahmet, who is intellectually gifted; Hikmet who is stuck in a complicated relationship; his junior Kiraz, who is a conscientious and emotional girl, Fikret who tries to be a rebel at school and the youngest toddler Ismet. Filiz has dedicated her life to her siblings, and her only confidant is her best friend and neighbor Tülay. She tries to earn money from daily jobs and deals with many more responsibilities than typical for a girl her age. One day she meets the handsome and charismatic Barış and her life changes. This mysterious young man turns up out of the blue and does his best to win Filiz's affection and become a part of the family.

Barış falls in love with Filiz at first sight and tries to impress her but Filiz thinks that there is no place for love in her life and tries to ignore her feelings. The police officer Cengiz, who has been in love with Filiz for a long time, and his protective behavior worsens matters for Barış. Furthermore, Barış's hidden identity and mysterious life pose a threat to their relationship. Six siblings try to hang on to each other and find happiness despite their father Fikri, who is only interested in having a drink and earning easy money. Barış's love for Filiz will set everybody on a different path."
18,Price of Passion,Siyah Beyaz Aşk,"Ferhat (İbrahim Çelikkol) is a cold-blooded hitman with a traumatic past. He works for his criminal uncle Namık (Muhammet Uzuner). On the other hand, Aslı (Birce Akalay) is a young and idealistic surgeon who wishes to serve humanity.

One day, their paths cross when Aslı operates on a man that Ferhat shot. Due to the surgery, Aslı unintentionally puts herself in an odd position, which forces her to marry Ferhat to save her life. Stuck in power games, the two who are as different from each other as black and white have to get along.

However, Ferhat has too dirty of a life to live an innocent love story. What happens when the woman who saves lives is captured by the man who takes them? A passionate love is about to be born."
19,Poyraz Karayel,Poyraz Karayel,"Poyraz Karayel (İlker Kaleli) is an officer who got suspended from the police force for a crime he did not commit. After being released from prison, Poyraz finds himself without a job and a family. His son, who means the world for him, is not with him anymore.

While he desperately tries to come up with a plan to have his son’s custody and his profession back, Poyraz is offered an off-the-record mission by his former chief. He must infiltrate one of the most notorious mafia families in town. Bahri Umman (Musa Uzunlar) is a crime boss with a lot of power.

Poyraz has to provide intelligence about the organization and put Bahri behind the bars. Only then can he regain his reputation to have his life back. Along the way, Poyraz and Bahri’s daughter Ayşegül (Burçin Terzioğlu) fall for each other. However, this love seems impossible where Poyraz must keep his mission a secret from her. The operation of a lifetime awaits him."
20,Ufak Tefek Cinayetler,Ufak Tefek Cinayetler,"Set in an affluent suburb in modern Istanbul, called “Sarmaşık”, Ufak Tefek Cinayetler tells the story of a never-ending war between “the good” and “the thugs”. Almost 20 years ago, Oya (Gökçe Bahadır) was pranked and falsely accused by her three closest high-school friends, Merve (Aslıhan Gürbüz), Pelin (Bade İşçil) and Arzu (Tülin Özen). Unable to prove her innocence, Oya survives her suicide and leaves Sarmaşık.

20 years later, Oya returns, and the four women’s paths cross again. For them, life will never be the same. In Ufak Tefek Cinayetler, you will watch the lives of four powerful women Oya, Merve, Pelin, and Arzu, who appear to be close friends, but really harbor passion, grudge, and envy to each other.

Will Oya forgive her old friends or seek revenge? Will Merve continue to run the Sarmaşık community, despite her secrets? Who is murdered at the end? Welcome to a game of power like you have never seen before."
21,Dip,Dip,"After his wife Ekin kills herself, the shady figure of Sahir becomes dedicated to his work as a psychiatrist, helping the police to talk people out of committing suicide. He seeks to carve out a new identity but finds his past catching up with him. He is drawn into a world of intrigue, enigmas and power struggles. His life undergoes a dramatic twist when he receives a tip-off about a suicide attempt from his dead wife’s telephone. The caller sends Sahir to a bridge where a woman is about to jump. When armed men following the woman open fire, the two of them leap from the bridge together. With this traumatic encounter, Sahir is plunged into an underground war in which secrets are hidden behind every door. Unknown to most of those around him, Sahir was closely involved with the ‘deep state’, the powerful clandestine network that for decades controlled Turkey.

The mysterious woman on the bridge is Bilge. Her brush with death comes hours after a meeting with her old school friend Emre, who had hidden his true identity from her. She learns from Emre that her powerful father, whom she believed was dead, is very much alive. The murky truth about her father and others around her explodes in a hail of gunfire at the cafe where she and Emre are meeting. Bilge flees in terror, knowing she is now a hunted woman. After jumping from the bridge with Sahir, she flees before he discovers her identity. With his curiosity stirred, Sahir uses his ‘deep state’ links to track her down. As the mysteries unfold, he discovers the truth about Bilge.

By day, she is a school physics teacher, by night a hacker who blackmails big corporations by uncovering their security flaws. Like a Robin Hood figure stealing from the rich to give to the poor, she demands that they deposit large amounts of money with charity foundations. Her partner in crime is Uygar, a college student with Asperger Syndrome. With Sahir now in on their secret, they are all drawn into a battle between powerful forces. The tip-offs about imminent suicide attempts multiply. Sahir continues to receive calls from his wife’s phone, while Bilge is called from the phone of her murdered friend Emre. Sahir has no choice but to delve deeper into the dark underworld using his connections from the past. Together with Bilge they are confronted with suspicious suicides, disappearances and an autopsy which will reveal the truth behind the grim deaths. The two of them must get to the enigmatic Orhan Bey before their enemies as they are all drawn into a final confrontation which will seal their fates."
22,Karadayı,Karadayı,The Kara family's life is turned upside down because of a wrongful accusation that results in the imprisonment of Nazif Kara for a murder he didn't commit.
23,Brave and Beautiful,Cesur ve Güzel,"Tahsin Korludag, the powerful and feared head of the Korludag family, controls the town. He has two children: his son Korhan, a disappointment, and his beloved daughter Sühan.

Korhan’s wife, desperate to bear the family heir, fears that Sühan will deliver an heir to the family fortune before herself and therefore decides to try to kill her sister-in-law. However, her plans are thwarted by a handsome stranger who saves Sühan and becomes her lover.

Unbeknownst to them, revenge runs in this stranger’s veins and it is no coincidence that he showed up when he did. As his love for Sühan grows, he must decide whether to pursue vengeance or follow his heart."
24,Asi,Asi,"For three generations, the Kozcuoğlu family owns a prominent plantation in Antakya. Keeping this farm alive is their foremost goal. The owner, Ihsan Kozcuoğlu (Çetin Tekindor) and his daughter, Asi, work and live for their land.

Years ago, Demir’s mother, Emine (Elif Sümbül Sert) and aunt Süheyla (Tülay Günal), were workers on the Kozcuoğlu farm until his mother drowned herself with her two kids Demir and Melek in the nearby river called Asi. Her children survived, Demir and Melek and they went on to live with their aunt Süheyla. Demir returns to his hometown as a rich businessman.

Still embittered about the circumstances that drove his mother to her death, he meets Asi and is immediately drawn to her. However, the lives of the Kozcuoğlu family and Demir’s family bear more connections from the past that constantly seem to get in between. Family secrets start unravel after Süheyla returns to be with her nephew Demir. Murder, death, affairs, and a love child is discovered as everyone’s life is turned upside down when decade old secrets come to surface. Demir and Asi’s love is tested to the limits as they struggle to hold to their affection while their world crumbles around them."
25,Lifeline,Sen Anlat Karadeniz,"Nefes was a child bride who was sold to a businessman. Captured by her husband, she has become the victim of violence with her son. She failed to escape from her husband, Vedat, and every try resulted in negative results. Nefes struggled to explain every beating of Vedat to her son, trying to convince him that this was just a game.

Nefes' brother, her only relative, has died when rescuing her. A businessman from the Blacksea region, Mustafa, travels to Istanbul to make new agreements with Vedat, and he brings his family along with him. Mustafa and his family stay in Vedat's house, and Mustafa's young brother Tahir notices that Nefes is affected by domestic violence. Unfortunately, Tahir can't do anything to help Nefes.

However, Nefes makes plans again that evening to escape from the house, and she hides in Tahir's van with her son. Her plan is to get out of the van after leaving home and start a new life with her son. But things don't go as planned; Nefes and her son fall asleep in the back of the van. They find themselves in Trabzon, Blacksea. Tahir discovers these two fugitives in Trabzon, but he doesn't have a clue that he'll get into a big battle to save them."
26,Kurt Seyit and Shura,Kurt Seyit ve Şura,"Kurt Seyit & Sura tells the story of the dashing, womanizing Lieutenant Kurt Seyit - the first son of a rich Crimean landowner of Turkish origin - who falls in love with Sura, the beautiful daughter of a noble Russian family.

But Seyit's father has always been convinced his son should marry a Turkish girl and continue their line. Against the wishes of their families, the lovers flee together and make a dangerous journey across frozen wastelands to seek sanctuary in Istanbul during the last days of the Ottoman Empire where they must fight for their love against the forces of family, the expectations of society, and the events of history."
27,First Love,4N1K Yeni Başlangıçlar,"Yaprak had lived an exciting and colourful life with her four male pals since childhood. One day, her world changes in a mysterious way when she meets Baris."
28,Darısı Başımıza,Darısı Başımıza,"Zerrin Aksoy is a proud mother of three children she raised single handedly. When the youngest daughter Öykü announces that she is to marry her very rich boyfriend, her big sister Rüya is considered an old spinster and looked upon with pity.

In frustration, Rüya tells everyone she is having a relationship with a famous actor, but the truth is that he doesn’t even know she exists. The arrival of a new family in the neighbourhood - the “love doctor” Merter and his sister - stir up a lot of emotions in the Aksoy family; Zerrin's son Serkan is smitten by the love doctor’s sister while Zerrin is clearly troubled by the sibling’s presence.

Is she hiding a secret from her own children? Meanwhile Öykü’s dreams of a happy marriage are dashed when she discovers her fiance has been unfaithful. She falls in to the arms of another man but rather than a happy ending, this is just the beginning of a whole world of problems…"
29,Bitter Sweet,Dolunay,"Nazli, who wants to be a professional chef, becomes the private chef of his boss Ferit. The rich businessman Ferit and Nazli get closer thanks to several coincidences and break through a gate of love that is impossible."
30,Endless Love,Kara Sevda,"From a middle-class family, Kemal’s only aim in life is to make a living and survive. A mine engineering student, he doesn’t believe in miracles, especially those related to love. But his world turns upside down when Nihan comes into his monotonous life.

From a wealthy family, Nihan lives in an affluent area of the neighborhood. However, she finds herself removed from the values of her environment and distant to her own world. Almost impossible, Kemal and Nihan’s love surpasses their differences and they manage to stay together until Kemal has to leave Istanbul to work in a mine in Zonguldak.

Soon after, Nihan marries wealthy businessman Emir Kozcuoğlu who has been in love with her since childhood. 5 years later, an unexpected mine accident develops a new path for Kemal; one that will take the completely changed Kemal back to Istanbul to confront Nihan, Emir and everything else that made him turn away. His destiny will force him to complete his unfinished businesses."
31,Aşk Laftan Anlamaz,Aşk Laftan Anlamaz,"Hayat tells the story of two distinct lives; on the one hand is Murat, the handsome, cool, perfectionist young man who takes over the responsibility of his family’s company at an early age while on the other hand is Hayat, the beautiful, joyful, yet clumsy young woman who lives life to the fullest. A recent university graduate, Hayat is having a hard time finding a job and if she doesn’t find one in 24 hours, she has to go back to her hometown and marry one of the candidates that her mother has chosen for her.

As she runs from one interview to another, Murat’s secretary mistakes her for another and offers her a position. While she only plans to work there for a few days until her mother leaves and then tell the truth, a chain of events develops and turns everything into one big mess, with the love between her and Murat at the center."
32,Heartbeat,Kalp Atışı,"Even though the world is a terrible place, there are always people who prove that the good people will ultimately win. Eylul is a successful neurosurgeon, who is brave enough to stand up to vulgar patients talking down on her for being a female doctor and asking for a male doctor instead. 12 years ago when Eylul was still very young, her life changed significantly: her mother committed suicide. She was then raised by her father and her mean stepmother. She changed schools several times and her father not wanting to deal with a rebellious young girl anymore finally sent her to her grandmother in Marmaris, who runs a small hostel. Ali Asaf is an outstanding 30-year old teacher working at Marmaris Highschool for Girls.

Even though it is still a mystery as to why he left Istanbul when he was a successful doctor to become a teacher at Marmaris, there is one thing that’s true about him: He is the one who saved Eylul from ruining her own life and he is the reason for her becoming a successful neurosurgeon. While all these things happen, in a twist of fate, he falls in love with her. Ali Asaf gets wrongfully fired from the school due to a misunderstanding. Twelve years later, his path crosses once again with Eylul at the hospital where they both work as doctors. After getting fired from the school, Ali Asaf goes to USA and continues his career as a doctor. When he gets back to Turkey, he starts to work at the hospital owned by his adoptive father.

The reason Eylul works at the same hospital is different. She had lost her grandmother in this hospital during a simple surgery and she had vowed to find those responsible and make sure they get punished. Eylul’s high school friend Bahar is also a surgeon and their competition goes on since school times. Meanwhile, Ali Asaf also has a rival: Oguz, one of the leading neurosurgeons in the country. Oguz is also interested in Eylul. Eylul’s sweet, fun and naive friend Esma moves to Istanbul and they share an apartment together. She runs a Cafe near the hospital, it is the popular meeting point for all the doctors."
33,Meryem,Meryem,"You can live with secrets, but never by lies. It is a story of three people whose lives were changed by a tragic accident forever. An innocent young woman Meryem (Ayça Ayşin Turan), a cynical prosecutor Oktay (Cemal Toktaş) and a vengeful man Savaş (Furkan Andıç). On a rainy night, Meryem and Oktay hit a woman with their car, not knowingly killing Savaş’s wife and her unborn child.

Even though Oktay was behind the wheel, Meryem takes responsibility for the crime to help him protect his reputation as a prosecutor. However, Oktay gets appointed to the very same lawsuit of which Meryem is the defendant. Now he has a chance to get rid of both her and the crime he committed. It is the ultimate conflict of interests because what comes first for Meryem is Oktay.

On the other hand, Oktay is purely in this for himself. What comes first for Savaş is vengeance for his wife’s murderer. The only thing that will separate the innocent from the guilty and the truth from the lie is love. However, it will grow from hate this time."
34,Sultan On My Heart,Kalbimin Sultanı,Mahmud brings Anna to his palace to teach his children French. The Russian ambassador also sends him there with the pressure to 'spy on his country'.
35,Black Pearl,Siyah İnci,"Hazal, beautiful young girl is engajed with Kenan, handsome young fisherman. The day before their wedding, Hazal is forced to marry Vural, successful businessman who fall in love with her since the first time he saw her working on his birthday party as a waitress."
36,The Yard,Avlu,A woman entering a prison trying to establish her own justice. These women who are forced to give up their freedom are struggling in Karakuyu against their own order and their own laws.
37,1001 Nights,Binbir Gece,Şehrazat’s boss offers to pay for her son’s treatment for leukemia if she spends the night with him and when that evolves into love they face a struggle to banish the secret of that night.
38,Çilek Kokusu,Çilek Kokusu,"A hardworking girl and a reckless boy.. Although their major differences, fate on the other hand has other plans for them."
39,No: 309,No: 309,"Onur, who has to get married and have children in order to receive the inheritance his grandfather left and to be the head of the company, goes on a date at his mother's request. Lale is at the same place for the date her mother arranged for her.

Lale and Onur, who don't know each other, sit at the same table as a result of various misunderstandings. This mistake leads to a big surprise."
40,Suskunlar,Suskunlar,A rising attorney finds his perfectly crafted life threatened when his long-lost childhood friends threaten to expose a dark secret from their past from Kuyudibi district in Istanbul.
41,The Oath,Söz,"Yavuz Karasu, a well-trained Turkish soldier, is in Istanbul with his fiance where a terrorist operation takes place. Dr.

Bahar, who is not a surgeon, tries to save his fiance. After this incident, Yavuz goes back to Karabayir and Bahar follows him all the way to give him something that belongs to him.

Another incident happens and he is chosen to be the commander of a team whose mission is to catch a terrorist and protect Karabiyir and their country Turkey. The whole team is solid, consistent, and willing to sacrifice their lives for the sake of their country."
42,Çukur,Çukur,"Çukur, one of the most dangerous neighborhoods of Istanbul, is ruled by the Koçova family. Although they are closely related to crime, the family has its own rules. One of these rules is the prohibition of drugs. Drugs cannot be produced, used or sold in Çukur. But one of the upstarts is determined to break the ban.

First he tries to negotiate with the Koçova’s but when his request is rejected he attacks the neighborhood and the family with his power. Just as he thinks that he has put the family on their knees something unpredicted comes up. Now the cards need to be dealt again. Yamaç is a young man who has focused himself on living life the way he wants to. He’s a man who doesn’t think about tomorrow.

One night he meets a beautiful young woman as wounded and dangerous as himself. Her name is Sena. Soon they fall in love and get married. While thinking that they would live “happily ever after”, Yamaç’s family that he believed he had left behind comes between them. As Sena follows Yamaç and runs in the family, they are not aware that their lives will never be the same."
43,Insider,Içerde,"When Sarp’s brother Umut disappears and is presumed dead, his mother hangs onto his memory for dear life. Sarp blames himself for having lost him and is still haunted by the loss. Just as Sarp is to graduate from the police academy he is assigned to infiltrate the mafia syndicate run by the mob boss, Celal Karabaş.

He believes by succeeding with his mission he will finally find peace in his mind and soul. When getting further involved in Celal’s world, Sarp also finds himself developing deep feelings for the mob boss’s protégé, Melek. She was taken off the streets begging as a small child by Celal, alongside a little boy, Mert.

Sarp eventually discovers that Mert is his long lost brother who in turn is embarking on his own mission for Celal. Suddenly the siblings are reunited but not as two brothers but two opponents on different side of the law. Will the brotherly love succeed to overcome all differences and heal wounded hearts? Insider (Icerde) stars Çağatay Ulusoy, Aras Bulut İynemli and Çetin Tekindor. After its premiere in September 2016 on Show TV in Turkey, the series enjoyed some of the best viewing figures seen for many years in Turkey, and quickly became the most watched Turkish drama of all time on YouTube."
44,Şahsiyet,Şahsiyet,"Agâh, who is retired, is in his 60s and he lives an ordinary life. Nevra, on the other hand is policewoman working in the Homicide Department. Agâh and Nevra who have walked in different paths of life through their entire lives do not have a clue that they have actually been approaching each other.

Although Agâh lost his wife years ago and he lives in one of the apartments in the building he owns, he is both respected and loved by those who are near him. However, Agah will change his life fundamentally with the news he learns from his doctor. And when his daughter and grandson who live abroad come to live with him the tranquility of his life will be lost completely.

This dramatic change in Agâh’s life will have an effect on Nevra’s life too. Nevra is the only woman working in the Homicide Department and this makes her life extremely difficult even though she is deeply committed to her job. While Nevra struggles with the problems in his professional and family life a mysterious murder will make Agâh’s and Nevra’s life intersect. When their lives intersect at such milestones they will have no chance but to look back at their past and go deeper in their memories. Is Agâh and Nevra’s encounter just a coincidence or is it just a small part of a big puzzle?"
45,Black Money Love,Kara Para Aşk,"Ömer is a police officer that is dying to find the truth about the possible murder of his fiancée who committed suicide. He signs a deal with the state. He will find the stolen diamonds and will learn the identity of the murderer in return.

Elif, who has lost her father in an accident, learns that her perfect father was actually a mafia who laundered money. Now she has to maintain her family and pay for the 2 billion dollar debt of the diamonds. Besides, her sister is in the hands of villains.

No matter what, Tayyar is dedicated to get back the diamonds from whoever stole them. Not only Tayyar but also everybody who learns about the existence of the diamonds goes after the dazzling twinkle. In this story some become captivated by this twinkle, some by love, some by the truth, some by their secrets and some by their ambition."
